,max_lives,reject_rate,win_rate,num_words_cheated,num_words_doubted,num_words_doubted_correct
0,9,0.0,0.556,0,221,0
1,9,0.1,0.574,321,374,216
2,9,0.2,0.585,565,454,353
3,9,0.3,0.584,736,526,459
4,9,0.4,0.573,803,548,492
5,9,0.5,0.605,885,572,543
6,9,0.6,0.579,922,566,547
7,9,0.7,0.594,948,572,559
8,9,0.8,0.579,956,583,565
9,9,0.9,0.586,967,581,572
10,9,1.0,0.624,972,605,600
11,10,0.0,0.565,0,287,0
12,10,0.1,0.641,369,476,284
13,10,0.2,0.65,593,552,435
14,10,0.3,0.703,732,644,561
15,10,0.4,0.715,825,686,625
16,10,0.5,0.73,882,706,671
17,10,0.6,0.742,918,717,692
18,10,0.7,0.739,945,718,694
19,10,0.8,0.745,960,730,711
20,10,0.9,0.757,973,748,740
21,10,1.0,0.726,978,716,701
